lon,lat,City,城镇,城鎮
35.93,31.95,'Amman,安曼,安曼
54.37,24.48,Abu Dhabi,阿布扎比,阿布紮比
7.17,9.18,Abuja,阿布贾,阿布賈
-0.2,5.56,Accra,阿克拉,阿克拉
-130.1,-25.05,Adamstown,亚当斯敦,亞當斯敦
38.74,9.03,Addis Abeba,阿贝巴,阿貝巴
144.75,13.47,Agana,阿加纳,阿加納
3.04,36.77,Algiers,阿尔及尔,阿爾及爾
-169.92,-19.05,Alofi,阿洛菲,阿洛菲
4.89,52.37,Amsterdam,阿姆斯特丹,阿姆斯特丹
1.51,42.51,Andorra la Vella,安道尔,安道爾
32.85,39.93,Ankara,安卡拉,安卡拉
47.51,-18.89,Antananarivo,塔那那利佛,塔那那利佛
-171.76,-13.83,Apia,阿皮亚,阿皮亞
58.38,37.95,Asgabat,阿斯加巴德,阿斯加巴德
38.94,15.33,Asmara,阿斯马拉,阿斯馬拉
71.47,51.17,Astana,阿斯塔纳,阿斯塔納
-57.63,-25.3,Asuncion,亚松森,亞松森
23.73,37.98,Athens,雅典,雅典
-159.76,-21.2,Avarua,阿瓦鲁阿,阿瓦魯阿
44.44,33.33,Baghdad,巴格达,巴格達
172.99,1.33,Bairiki,拜里基,拜裏基
49.86,40.39,Baku,巴库,巴庫
-7.99,12.65,Bamako,巴马科,巴馬科
114.95,4.93,Bandar Seri Begawan,斯里巴加湾,斯裏巴加灣
100.5,13.73,Bangkok,曼谷,曼谷
18.56,4.36,Bangui,班吉,班吉
-16.6,13.46,Banjul,班珠尔,班珠爾
-61.72,16,Basse-Terre,巴斯特尔,巴斯特爾
-62.73,17.31,Basseterre,巴塞特雷,巴塞特雷
35.5,33.88,Bayrut,贝鲁特,貝魯特
116.4,39.93,Beijing,北京,北京
20.5,44.83,Belgrade,贝尔格莱德,貝爾格萊德
-88.79,17.25,Belmopan,贝尔莫潘,貝爾莫潘
13.38,52.52,Berlin,柏林,柏林
7.44,46.95,Bern,伯尔尼,伯爾尼
74.57,42.87,Biskek,比斯开克,比斯開克
-15.6,11.87,Bissau,比绍,比紹
-74.09,4.63,Bogota,波哥大,波哥大
-47.91,-15.78,Brasilia,巴西利亚,巴西利亞
17.13,48.16,Bratislava,布拉迪斯拉发,布拉迪斯拉發
15.26,-4.25,Brazzaville,布拉柴维尔,布拉柴維爾
-59.61,13.11,Bridgetown,布里奇敦,布裏奇敦
4.33,50.83,Brussels,布鲁塞尔,布魯塞爾
26.1,44.44,Bucharest,布加勒斯特,布加勒斯特
19.08,47.51,Budapest,布达佩斯,布達佩斯
-58.37,-34.61,Buenos Aires,布宜诺斯艾利斯,布宜諾斯艾利斯
29.35,-3.37,Bujumbura,布琼布拉,布瓊布拉
31.25,30.06,Cairo,开罗,開羅
149.13,-35.31,Canberra,堪培拉,堪培拉
-66.93,10.54,Caracas,加拉加斯,加拉加斯
-60.98,14.03,Castries,卡斯特里斯,卡斯特裏斯
-52.34,4.92,Cayenne,卡宴,卡宴
125.35,43.87,Changchun,长春,長春
112.97,28.2,Changsha,长沙,長沙
