"","YearMonth","Event"
"1",Dec 2003,"JLPT Level3"
"2",Jun 2004,"Joined Forex Trading Line"
"3",Oct 2005,"Joined Sportsbook Line"
"4",Dec 2005,"Transfered to Purchasing Deprt"
"5",Mar 2006,"Learn Poisson Model"
"6",Jun 2006,"Conduct Corners BIR"
"7",Jul 2006,"Resigned from Telebiz"
"8",Jul 2006,"Join Caspo Inc"
"9",Aug 2006,"Transfered to Training Deprt"
"10",Jul 2007,"Write own Basic Poisson Model"
"11",Apr 2008,"Learn Sportsbook Line and Odds Modelling thoroughly"
"12",Apr 2010,"Odds Modelling and Testing Inefficiency of Sportsbookmakers"
"13",Sep 2013,"Soccer League Web Scrapping"
"14",Apr 2014,"WebDriver Dynamic Webpage Scrapping"
"15",Dec 2014,"Testing Inefficiency of Sports-Bookmakers by Kelly Model"
