Company		PL.2011.12	Ratio.2011.12	PL2.2011.12	Ratio2.2011.12	PL.2012.13	Ratio.2012.13	PL2.2012.13	Ratio2.2012.13
Ladbrokes	$33.772411	9.54%		$38.25184	10.04%		$44.53507895	9.92%		$46.7763362	9.57%
Bet365	    	$34.120624	9.64%		$37.19263	9.76%		$33.53743752	7.47%		$40.6766948	8.32%
Macauslot	$35.740062	10.10%		$40.23454	10.56%		$1.76408658	0.39%		$1.9329171	0.40%
X10Bet	    	$37.538487	10.61%		$41.64034	10.93%		$33.62892077	7.49%		$40.6921976	8.32%
X188Bet	    	$36.579289	10.33%		$38.25589	10.04%		$41.05668234	9.15%		$46.1156378	9.43%
SBOBET	    	$40.392461	11.41%		$41.90898	11.00%		$43.50915478	9.69%		$47.8308212	9.78%
Mansion88	$31.219547	8.82%		$32.38999	8.50%		$42.44403404	9.46%		$43.9521665	8.99%
YSB88	    	$13.167746	3.72%		$14.34128	3.76%		$45.92688667	10.23%		$46.8393963	9.58%
X12BET	    	$36.802466	10.40%		$38.19015	10.02%		$36.03065656	8.03%		$36.2449956	7.41%
VictorChandler	$24.391917	6.89%		$25.95763	6.81%		$45.13420638	10.05%		$46.2154620	9.45%
Canbet	    	$10.347393	2.92%		$10.97516	2.88%		$41.04019224	9.14%		$46.9617659	9.61%
Betinternet	$10.286812	2.91%		$11.18731	2.94%		$40.20594752	8.96%		$44.5435274	9.11%
Titanbet	$9.610441	2.72%		$10.53726	2.77%		$0.08604952	0.02%		$0.1364944	0.03%
