Country,City,地级市,经度,纬度,人口,城镇,城鎮,国家,國家
Jordan,'Amman,1,35.93,31.95,1303197,安曼,安曼,约旦,約旦
United Arab Emirates,Abu Dhabi,1,54.37,24.48,619316,阿布扎比,阿布紮比,阿拉伯联合酋长国,阿拉伯聯合酋長國
Nigeria,Abuja,1,7.17,9.18,178462,阿布贾,阿布賈,尼日利亚,尼日利亞
Ghana,Accra,1,-0.2,5.56,2029143,阿克拉,阿克拉,加纳,加納
Pitcairn,Adamstown,1,-130.1,-25.05,51,亚当斯敦,亞當斯敦,皮特凯恩,皮特凱恩
Ethiopia,Addis Abeba,1,38.74,9.03,2823167,阿贝巴,阿貝巴,埃塞俄比亚,埃塞俄比亞
Guam,Agana,1,144.75,13.47,1041,阿加纳,阿加納,关岛,關島
Algeria,Algiers,1,3.04,36.77,2029936,阿尔及尔,阿爾及爾,阿尔及利亚,阿爾及利亞
Niue,Alofi,1,-169.92,-19.05,627,阿洛菲,阿洛菲,纽埃,紐埃
Netherlands,Amsterdam,1,4.89,52.37,744159,阿姆斯特丹,阿姆斯特丹,荷兰,荷蘭
Andorra,Andorra la Vella,1,1.51,42.51,20314,安道尔,安道爾,安道尔,安道爾
Turkey,Ankara,1,32.85,39.93,3579706,安卡拉,安卡拉,土耳其,土耳其
Madagascar,Antananarivo,1,47.51,-18.89,1463754,塔那那利佛,塔那那利佛,马达加斯加,馬達加斯加
Samoa,Apia,1,-171.76,-13.83,40805,阿皮亚,阿皮亞,萨摩亚,薩摩亞
Turkmenistan,Asgabat,1,58.38,37.95,823013,阿斯加巴德,阿斯加巴德,土库曼斯坦,土庫曼斯坦
Eritrea,Asmara,1,38.94,15.33,578860,阿斯马拉,阿斯馬拉,厄立特里亚,厄立特裏亞
Kazakhstan,Astana,1,71.47,51.17,351343,阿斯塔纳,阿斯塔納,哈萨克斯坦,哈薩克斯坦
Paraguay,Asuncion,1,-57.63,-25.3,507574,亚松森,亞松森,巴拉圭,巴拉圭
Greece,Athens,1,23.73,37.98,725049,雅典,雅典,希腊,希臘
Cook Islands,Avarua,1,-159.76,-21.2,13645,阿瓦鲁阿,阿瓦魯阿,库克群岛,庫克群島
Iraq,Baghdad,1,44.44,33.33,5753612,巴格达,巴格達,伊拉克,伊拉克
Kiribati,Bairiki,1,172.99,1.33,45982,拜里基,拜裏基,基里巴斯,基裏巴斯
Azerbaijan,Baku,1,49.86,40.39,1118725,巴库,巴庫,阿塞拜疆,阿塞拜疆
Mali,Bamako,1,-7.99,12.65,1342519,巴马科,巴馬科,马里,馬裏
Brunei,Bandar Seri Begawan,1,114.95,4.93,67077,斯里巴加湾,斯裏巴加灣,文莱,文萊
Thailand,Bangkok,1,100.5,13.73,4935988,曼谷,曼谷,泰国,泰國
Central African Republic,Bangui,1,18.56,4.36,547668,班吉,班吉,中非共和国,中非共和國
Gambia,Banjul,1,-16.6,13.46,34388,班珠尔,班珠爾,冈比亚,岡比亞
Guadeloupe,Basse-Terre,1,-61.72,16,11298,巴斯特尔,巴斯特爾,瓜德罗普,瓜德羅普
Saint Kitts and Nevis,Basseterre,1,-62.73,17.31,12883,巴塞特雷,巴塞特雷,圣基茨和尼维斯,聖基茨和尼維斯
Lebanon,Bayrut,1,35.5,33.88,1273440,贝鲁特,貝魯特,黎巴嫩,黎巴嫩
China,Beijing,1,116.4,39.93,7602069,北京,北京,中国,中國
